,FilePath,%NaN,NuberOfFrozen_Signal,TimestampDrops,MaxTimestampDrops,JumpsInVelocity
160,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut10 ufo30\TRIAL_220622_114019_00898_FBl_26_AUTOSAVE.trial,7.442196531791907,35,176,40.0,0.0
161,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut10 ufo30\TRIAL_220622_114548_00904_FBl_26_AUTOSAVE.trial,3.395953757225433,0,92,30.0,0.0
162,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut10 ufo45\TRIAL_220622_111516_00877_FBl_26_AUTOSAVE.trial,6.516220028208744,3,206,40.0,0.0
163,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut10 ufo45\TRIAL_220622_111704_00879_FBl_26_AUTOSAVE.trial,12.270803949224259,14,371,50.0,0.0
164,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut10 ufo45\TRIAL_220622_111850_00881_FBl_26_AUTOSAVE.trial,9.873060648801129,3,270,80.0,0.0
165,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut10 ufo60\TRIAL_220622_104507_00857_FBl_26_AUTOSAVE.trial,5.003458611943739,26,154,50.0,0.0
166,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut10 ufo60\TRIAL_220622_104727_00859_FBl_26_AUTOSAVE.trial,10.445008070094536,23,325,100.0,0.0
167,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut10 ufo60\TRIAL_220622_104940_00861_FBl_26_AUTOSAVE.trial,10.029974636845745,17,364,50.0,0.0
168,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut15 ufo30\TRIAL_220622_114845_00906_FBl_26_AUTOSAVE.trial,2.480230050323508,4,65,40.0,0.0
169,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut15 ufo30\TRIAL_220622_115015_00908_FBl_26_AUTOSAVE.trial,3.235082674335011,19,83,40.0,0.0
170,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut15 ufo30\TRIAL_220622_115139_00910_FBl_26_AUTOSAVE.trial,11.250898634076204,49,268,60.0,0.0
171,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut15 ufo45\TRIAL_220622_112043_00883_FBl_26_AUTOSAVE.trial,12.91371158392435,20,360,50.0,0.0
172,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut15 ufo45\TRIAL_220622_112231_00885_FBl_26_AUTOSAVE.trial,10.490543735224586,24,166,140.0,0.0
173,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut15 ufo45\TRIAL_220622_112420_00887_FBl_26_AUTOSAVE.trial,14.627659574468085,16,374,70.0,0.0
174,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut15 ufo60\TRIAL_220622_105243_00863_FBl_26_AUTOSAVE.trial,18.440233236151606,42,448,230.0,0.0
175,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut15 ufo60\TRIAL_220622_105635_00865_FBl_26_AUTOSAVE.trial,9.66958211856171,14,331,60.0,0.0
176,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut15 ufo60\TRIAL_220622_105916_00868_FBl_26_AUTOSAVE.trial,11.661807580174926,29,388,60.0,0.0
177,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut20 ufo45\TRIAL_220622_112707_00889_FBl_26_AUTOSAVE.trial,10.261875761266747,0,287,50.0,0.0
178,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut20 ufo45\TRIAL_220622_112903_00891_FBl_26_AUTOSAVE.trial,6.425091352009744,0,176,60.0,0.0
179,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut20 ufo45\TRIAL_220622_113056_00893_FBl_26_AUTOSAVE.trial,12.667478684531059,15,353,40.0,0.0
180,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut20 ufo60\TRIAL_220622_110213_00870_FBl_26_AUTOSAVE.trial,13.714425907752698,3,404,100.0,0.0
181,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut20 ufo60\TRIAL_220622_110434_00872_FBl_26_AUTOSAVE.trial,13.052011776251227,3,212,340.0,0.0
182,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\vut20 ufo60\TRIAL_220622_110702_00874_FBl_26_AUTOSAVE.trial,7.899901864573112,62,271,50.0,0.0
183,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\wut20 ufo30\TRIAL_220622_115351_00912_FBl_26_AUTOSAVE.trial,4.188122210779265,17,108,30.0,0.0
184,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220622\scp right\wut20 ufo30\TRIAL_220622_115545_00914_FBl_26_AUTOSAVE.trial,1.7507723995880538,7,49,30.0,0.0
